PQR208, X, Y, Truck
XYZ198, X, Y, Car
XYZ183, X, Y, Car
XYZ199, X, Y, Car
PQR256, X, Y, Truck
PQR249, X, Y, Truck
PQR223, X, Y, Truck
XYZ139, X, Y, Car
XYZ195, X, Y, Car
PQR273, X, Y, Truck
PQR248, X, Y, Truck
XYZ127, X, Y, Car
XYZ138, X, Y, Car
PQR275, X, Y, Truck
PQR235, X, Y, Truck
XYZ134, X, Y, Car
PQR230, X, Y, Truck
PQR264, X, Y, Truck
XYZ178, X, Y, Car
PQR280, X, Y, Truck
XYZ186, X, Y, Car
PQR227, X, Y, Truck
PQR251, X, Y, Truck
PQR219, X, Y, Truck
PQR238, X, Y, Truck
XYZ167, X, Y, Car
PQR295, X, Y, Truck
XYZ168, X, Y, Car
XYZ174, X, Y, Car
XYZ120, X, Y, Car
XYZ173, X, Y, Car
XYZ142, X, Y, Car
PQR267, X, Y, Truck
PQR225, X, Y, Truck
XYZ121, X, Y, Car
PQR204, X, Y, Truck
XYZ161, X, Y, Car
PQR286, X, Y, Truck
XYZ182, X, Y, Car
PQR300, X, Y, Truck
PQR299, X, Y, Truck
PQR207, X, Y, Truck
XYZ190, X, Y, Car
XYZ162, X, Y, Car
XYZ141, X, Y, Car
PQR210, X, Y, Truck
PQR276, X, Y, Truck
PQR205, X, Y, Truck
XYZ192, X, Y, Car
PQR224, X, Y, Truck
PQR293, X, Y, Truck
PQR285, X, Y, Truck
PQR229, X, Y, Truck
XYZ129, X, Y, Car
PQR221, X, Y, Truck
XYZ145, X, Y, Car
PQR297, X, Y, Truck
XYZ158, X, Y, Car
PQR283, X, Y, Truck
XYZ108, X, Y, Car
XYZ101, X, Y, Car
XYZ180, X, Y, Car
XYZ122, X, Y, Car
XYZ184, X, Y, Car
PQR218, X, Y, Truck
PQR288, X, Y, Truck
XYZ157, X, Y, Car
XYZ110, X, Y, Car
PQR232, X, Y, Truck
XYZ132, X, Y, Car
PQR237, X, Y, Truck
XYZ163, X, Y, Car
XYZ118, X, Y, Car
PQR214, X, Y, Truck
XYZ171, X, Y, Car
XYZ193, X, Y, Car
XYZ165, X, Y, Car
PQR260, X, Y, Truck
XYZ197, X, Y, Car
XYZ185, X, Y, Car
PQR258, X, Y, Truck
PQR268, X, Y, Truck
XYZ140, X, Y, Car
XYZ137, X, Y, Car
XYZ179, X, Y, Car
PQR253, X, Y, Truck
XYZ107, X, Y, Car
XYZ170, X, Y, Car
XYZ130, X, Y, Car
PQR241, X, Y, Truck
PQR269, X, Y, Truck
PQR279, X, Y, Truck
PQR296, X, Y, Truck
PQR206, X, Y, Truck
PQR233, X, Y, Truck
PQR231, X, Y, Truck
PQR201, X, Y, Truck
XYZ128, X, Y, Car
XYZ200, X, Y, Car
PQR245, X, Y, Truck
XYZ191, X, Y, Car
XYZ189, X, Y, Car
XYZ164, X, Y, Car
PQR211, X, Y, Truck
