PQR231, 4, 0.9, 1023
XYZ101, 4, 0.37, 788
PQR201, 3, 0.45, 1078
PQR241, 4, 0.53, 378
XYZ162, 14, 0.65, 829
PQR264, 11, 0.17, 518
XYZ129, 8, 0.17, 630
PQR295, 6, 0.11, 625
XYZ198, 18, 0.37, 694
PQR208, 4, 0.91, 682
XYZ165, 11, 0.04, 151
PQR268, 10, 0.67, 1124
XYZ180, 2, 0.26, 857
XYZ184, 17, 0.3, 899
XYZ141, 11, 0.4, 5
XYZ142, 14, 0.58, 454
PQR251, 26, 0.58, 940
PQR273, 6, 0.61, 187
PQR299, 6, 0.55, 749
XYZ191, 18, 0.31, 200
XYZ139, 17, 0.62, 888
PQR218, 1, 0.58, 53
XYZ164, 10, 0.61, 556
XYZ193, 12, 0.04, 267
XYZ182, 3, 0.07, 678
PQR269, 8, 0.58, 749
XYZ178, 2, 0.28, 332
XYZ167, 20, 0.24, 822
PQR232, 3, 0.31, 1162
PQR253, 19, 0.54, 200
XYZ192, 1, 0.1, 278
XYZ171, 15, 0.56, 195
PQR207, 5, 0.3, 431
PQR205, 21, 0.01, 225
PQR279, 13, 0.61, 327
PQR210, 17, 0.98, 859
PQR230, 7, 0.59, 432
XYZ158, 11, 0.65, 192
XYZ121, 11, 0.12, 354
PQR245, 17, 0.32, 396
PQR285, 9, 0.89, 1187
