XYZ185, X, Y, Car
XYZ159, X, Y, Car
XYZ114, X, Y, Car
PQR240, X, Y, Truck
PQR224, X, Y, Truck
XYZ125, X, Y, Car
PQR205, X, Y, Truck
PQR280, X, Y, Truck
XYZ152, X, Y, Car
PQR271, X, Y, Truck
XYZ158, X, Y, Car
XYZ168, X, Y, Car
XYZ192, X, Y, Car
XYZ126, X, Y, Car
XYZ132, X, Y, Car
XYZ140, X, Y, Car
PQR295, X, Y, Truck
XYZ196, X, Y, Car
PQR217, X, Y, Truck
XYZ166, X, Y, Car
PQR273, X, Y, Truck
PQR259, X, Y, Truck
XYZ183, X, Y, Car
PQR248, X, Y, Truck
PQR218, X, Y, Truck
PQR228, X, Y, Truck
PQR220, X, Y, Truck
PQR298, X, Y, Truck
PQR243, X, Y, Truck
PQR254, X, Y, Truck
XYZ111, X, Y, Car
XYZ142, X, Y, Car
XYZ112, X, Y, Car
XYZ172, X, Y, Car
PQR265, X, Y, Truck
XYZ143, X, Y, Car
XYZ146, X, Y, Car
XYZ100, X, Y, Car
XYZ195, X, Y, Car
PQR283, X, Y, Truck
PQR287, X, Y, Truck
XYZ138, X, Y, Car
PQR245, X, Y, Truck
PQR202, X, Y, Truck
XYZ197, X, Y, Car
XYZ141, X, Y, Car
PQR229, X, Y, Truck
XYZ151, X, Y, Car
XYZ187, X, Y, Car
XYZ178, X, Y, Car
XYZ122, X, Y, Car
XYZ177, X, Y, Car
XYZ193, X, Y, Car
XYZ130, X, Y, Car
PQR286, X, Y, Truck
PQR239, X, Y, Truck
PQR238, X, Y, Truck
XYZ135, X, Y, Car
XYZ155, X, Y, Car
XYZ198, X, Y, Car
PQR242, X, Y, Truck
XYZ128, X, Y, Car
PQR299, X, Y, Truck
PQR279, X, Y, Truck
PQR256, X, Y, Truck
PQR216, X, Y, Truck
PQR253, X, Y, Truck
XYZ150, X, Y, Car
XYZ137, X, Y, Car
PQR210, X, Y, Truck
PQR219, X, Y, Truck
PQR246, X, Y, Truck
XYZ106, X, Y, Car
PQR235, X, Y, Truck
PQR285, X, Y, Truck
PQR288, X, Y, Truck
PQR247, X, Y, Truck
XYZ134, X, Y, Car
XYZ189, X, Y, Car
XYZ194, X, Y, Car
PQR244, X, Y, Truck
PQR261, X, Y, Truck
XYZ190, X, Y, Car
XYZ144, X, Y, Car
PQR281, X, Y, Truck
PQR209, X, Y, Truck
XYZ162, X, Y, Car
XYZ163, X, Y, Car
XYZ149, X, Y, Car
XYZ120, X, Y, Car
PQR258, X, Y, Truck
PQR269, X, Y, Truck
XYZ179, X, Y, Car
