PQR269, 5, 0.19, 699
PQR297, 23, 0.76, 610
PQR239, 0, 0.05, 918
XYZ175, 1, 0.55, 844
PQR292, 12, 0.46, 900
PQR237, 24, 0.2, 800
XYZ179, 3, 0.54, 61
PQR279, 9, 0.95, 991
PQR218, 3, 0.57, 547
XYZ101, 7, 0.28, 468
XYZ171, 17, 0.21, 288
XYZ144, 10, 0.19, 183
XYZ162, 1, 0.48, 92
XYZ121, 11, 0.19, 670
PQR250, 21, 0.89, 858
PQR286, 11, 0.32, 387
XYZ164, 9, 0.02, 58
XYZ170, 8, 0.51, 183
XYZ160, 3, 0.51, 653
XYZ168, 18, 0.47, 561
PQR206, 5, 0.85, 669
XYZ135, 3, 0.5, 401
PQR281, 0, 1.0, 208
XYZ114, 11, 0.56, 165
XYZ192, 8, 0.63, 187
PQR290, 13, 0.58, 619
XYZ138, 12, 0.34, 749
XYZ156, 12, 0.1, 498
XYZ191, 8, 0.58, 529
PQR285, 7, 0.91, 921
PQR205, 4, 0.6, 158
XYZ197, 16, 0.65, 134
PQR220, 12, 0.37, 1172
PQR216, 15, 0.44, 213
XYZ137, 16, 0.58, 149
PQR273, 20, 0.24, 1093
PQR211, 20, 0.63, 791
PQR293, 14, 0.11, 835
XYZ163, 4, 0.61, 635
XYZ174, 13, 0.53, 572
PQR280, 16, 0.24, 340
XYZ146, 9, 0.66, 7
PQR259, 15, 0.36, 869
PQR200, 8, 0.64, 837
PQR217, 20, 0.63, 262
