PQR299, 3, 0.21, 566
PQR271, 5, 0.55, 1073
PQR202, 10, 0.15, 1177
PQR298, 5, 0.84, 695
XYZ121, 10, 0.29, 672
XYZ109, 13, 0.3, 210
XYZ174, 20, 0.15, 710
XYZ182, 13, 0.5, 697
XYZ153, 9, 0.32, 733
PQR288, 8, 0.87, 338
XYZ113, 6, 0.27, 57
PQR258, 14, 0.32, 683
XYZ194, 4, 0.27, 171
XYZ156, 5, 0.46, 163
PQR295, 14, 0.62, 245
PQR208, 3, 0.11, 537
XYZ161, 15, 0.69, 121
XYZ187, 2, 0.23, 640
XYZ186, 16, 0.31, 249
PQR289, 5, 0.04, 1006
XYZ124, 0, 0.14, 595
PQR283, 22, 0.65, 422
XYZ128, 17, 0.17, 592
PQR284, 16, 0.77, 291
XYZ135, 4, 0.25, 102
XYZ115, 2, 0.37, 872
XYZ189, 1, 0.03, 466
PQR220, 22, 0.32, 276
PQR274, 21, 0.71, 637
PQR278, 26, 0.56, 969
XYZ155, 13, 0.26, 66
PQR259, 23, 0.87, 865
PQR287, 6, 0.88, 518
XYZ199, 10, 0.43, 705
PQR222, 20, 0.05, 37
PQR248, 26, 0.13, 346
PQR254, 9, 0.02, 661
XYZ197, 11, 0.34, 751
XYZ176, 18, 0.53, 703
XYZ180, 11, 0.56, 874
PQR228, 0, 0.01, 1024
XYZ119, 16, 0.42, 128
XYZ141, 12, 0.15, 65
PQR204, 25, 0.12, 698
XYZ105, 12, 0.13, 25
PQR294, 9, 0.03, 584
XYZ129, 0, 0.05, 879
PQR239, 1, 0.19, 661
PQR280, 13, 0.82, 463
XYZ131, 9, 0.45, 852
XYZ154, 17, 0.22, 652
