PQR214, 14, 0.21, 406
XYZ185, 7, 0.05, 353
XYZ102, 5, 0.3, 169
XYZ177, 5, 0.57, 660
XYZ117, 2, 0.08, 366
PQR271, 8, 0.78, 133
PQR263, 17, 0.4, 506
PQR246, 13, 0.32, 560
XYZ170, 4, 0.43, 839
PQR250, 0, 0.48, 424
PQR221, 25, 0.83, 876
PQR253, 28, 0.09, 629
PQR262, 25, 0.47, 1060
PQR219, 24, 0.21, 16
XYZ182, 5, 0.54, 156
PQR234, 11, 0.07, 832
PQR298, 9, 0.9, 647
PQR256, 15, 0.18, 672
XYZ131, 20, 0.17, 716
XYZ178, 0, 0.2, 311
XYZ141, 14, 0.56, 31
XYZ149, 12, 0.54, 138
PQR222, 3, 0.92, 505
XYZ146, 1, 0.04, 24
XYZ126, 4, 0.13, 208
XYZ123, 17, 0.59, 856
PQR274, 7, 0.36, 703
XYZ196, 17, 0.39, 427
XYZ158, 3, 0.54, 76
PQR294, 0, 0.45, 1005
XYZ175, 17, 0.56, 611
PQR236, 16, 0.09, 582
XYZ190, 12, 0.31, 315
XYZ179, 9, 0.18, 691
PQR200, 10, 0.72, 423
XYZ139, 0, 0.48, 505
XYZ174, 8, 0.69, 861
PQR245, 9, 0.98, 12
XYZ127, 17, 0.22, 885
XYZ137, 11, 0.17, 727
PQR231, 16, 0.31, 1123
PQR227, 6, 0.13, 601
XYZ148, 16, 0.19, 356
XYZ157, 2, 0.49, 473
XYZ200, 9, 0.14, 247
XYZ164, 7, 0.16, 801
XYZ195, 20, 0.49, 650
