PQR282, X, Y, Truck
PQR221, X, Y, Truck
PQR264, X, Y, Truck
PQR263, X, Y, Truck
PQR292, X, Y, Truck
PQR283, X, Y, Truck
PQR269, X, Y, Truck
PQR219, X, Y, Truck
XYZ146, X, Y, Car
XYZ174, X, Y, Car
XYZ107, X, Y, Car
XYZ137, X, Y, Car
XYZ124, X, Y, Car
PQR211, X, Y, Truck
PQR256, X, Y, Truck
XYZ103, X, Y, Car
PQR276, X, Y, Truck
PQR231, X, Y, Truck
XYZ173, X, Y, Car
PQR236, X, Y, Truck
XYZ175, X, Y, Car
XYZ162, X, Y, Car
PQR266, X, Y, Truck
PQR239, X, Y, Truck
PQR246, X, Y, Truck
XYZ200, X, Y, Car
XYZ126, X, Y, Car
PQR201, X, Y, Truck
XYZ165, X, Y, Car
PQR298, X, Y, Truck
XYZ190, X, Y, Car
XYZ170, X, Y, Car
XYZ150, X, Y, Car
PQR223, X, Y, Truck
PQR226, X, Y, Truck
XYZ131, X, Y, Car
XYZ127, X, Y, Car
PQR253, X, Y, Truck
XYZ138, X, Y, Car
XYZ139, X, Y, Car
XYZ187, X, Y, Car
XYZ148, X, Y, Car
XYZ160, X, Y, Car
XYZ185, X, Y, Car
XYZ149, X, Y, Car
XYZ188, X, Y, Car
XYZ183, X, Y, Car
XYZ168, X, Y, Car
XYZ158, X, Y, Car
PQR286, X, Y, Truck
XYZ178, X, Y, Car
XYZ164, X, Y, Car
PQR245, X, Y, Truck
PQR274, X, Y, Truck
XYZ141, X, Y, Car
XYZ129, X, Y, Car
PQR241, X, Y, Truck
PQR289, X, Y, Truck
PQR227, X, Y, Truck
PQR240, X, Y, Truck
XYZ145, X, Y, Car
PQR214, X, Y, Truck
PQR262, X, Y, Truck
PQR271, X, Y, Truck
PQR248, X, Y, Truck
XYZ123, X, Y, Car
XYZ134, X, Y, Car
XYZ156, X, Y, Car
XYZ155, X, Y, Car
PQR200, X, Y, Truck
PQR203, X, Y, Truck
PQR233, X, Y, Truck
XYZ182, X, Y, Car
PQR294, X, Y, Truck
PQR270, X, Y, Truck
PQR205, X, Y, Truck
XYZ179, X, Y, Car
XYZ132, X, Y, Car
XYZ177, X, Y, Car
XYZ196, X, Y, Car
XYZ140, X, Y, Car
PQR206, X, Y, Truck
XYZ194, X, Y, Car
PQR297, X, Y, Truck
XYZ117, X, Y, Car
PQR267, X, Y, Truck
PQR258, X, Y, Truck
XYZ195, X, Y, Car
XYZ161, X, Y, Car
PQR234, X, Y, Truck
PQR251, X, Y, Truck
PQR207, X, Y, Truck
PQR250, X, Y, Truck
PQR222, X, Y, Truck
XYZ106, X, Y, Car
XYZ157, X, Y, Car
XYZ102, X, Y, Car
